Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.25, inplace=False)
    (1): Linear(in_features=200, out_features=1400, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.25, inplace=False)
    (4): Linear(in_features=1400, out_features=13, bias=True)
  )
)
Number of parameters = 299,613
Moving model to cuda
Epoch 0
Loss = 1.9750e-01, PNorm = 19.7305, GNorm = 0.1335, lr_0 = 4.2245e-04
Loss = 1.5459e-01, PNorm = 19.7425, GNorm = 0.1350, lr_0 = 4.2841e-04
Loss = 1.7617e-01, PNorm = 19.7606, GNorm = 0.3341, lr_0 = 4.3437e-04
Loss = 1.7145e-01, PNorm = 19.7495, GNorm = 0.1169, lr_0 = 4.4033e-04
Loss = 1.1746e-01, PNorm = 19.7702, GNorm = 0.0949, lr_0 = 4.4629e-04
Loss = 1.6170e-01, PNorm = 19.7817, GNorm = 0.0922, lr_0 = 4.5225e-04
Loss = 1.6328e-01, PNorm = 19.7840, GNorm = 0.1227, lr_0 = 4.5821e-04
Loss = 1.5250e-01, PNorm = 19.7952, GNorm = 0.1109, lr_0 = 4.6417e-04
Loss = 2.0493e-01, PNorm = 19.7895, GNorm = 0.1276, lr_0 = 4.7013e-04
Loss = 1.6055e-01, PNorm = 19.8015, GNorm = 0.1116, lr_0 = 4.7609e-04
Loss = 1.7300e-01, PNorm = 19.8170, GNorm = 0.2401, lr_0 = 4.8205e-04
Loss = 1.6985e-01, PNorm = 19.8155, GNorm = 0.1071, lr_0 = 4.8801e-04
