Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout_layer): Dropout(p=0.4, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=147, out_features=1300, bias=False)
        (W_h): Linear(in_features=1300, out_features=1300, bias=False)
        (W_o): Linear(in_features=1433, out_features=1300, bias=True)
      )
    )
  )
  (ffn): Sequential(
    (0): Dropout(p=0.4, inplace=False)
    (1): Linear(in_features=1500, out_features=1300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.4, inplace=False)
    (4): Linear(in_features=1300, out_features=13, bias=True)
  )
)
Number of parameters = 5,713,513
Moving model to cuda
Epoch 0
Loss = 1.6391e-01, PNorm = 66.5048, GNorm = 0.1486, lr_0 = 4.0457e-04
Loss = 1.4408e-01, PNorm = 66.5342, GNorm = 0.1379, lr_0 = 4.1053e-04
Loss = 1.8912e-01, PNorm = 66.5477, GNorm = 0.1608, lr_0 = 4.1649e-04
Loss = 1.9899e-01, PNorm = 66.5733, GNorm = 0.1398, lr_0 = 4.2245e-04
Loss = 1.5398e-01, PNorm = 66.5940, GNorm = 0.1836, lr_0 = 4.2841e-04
Loss = 1.8030e-01, PNorm = 66.6149, GNorm = 0.5496, lr_0 = 4.3437e-04
Loss = 1.6913e-01, PNorm = 66.6233, GNorm = 0.1435, lr_0 = 4.4033e-04
Loss = 1.1321e-01, PNorm = 66.6610, GNorm = 0.0907, lr_0 = 4.4629e-04
Loss = 1.7419e-01, PNorm = 66.6616, GNorm = 0.3084, lr_0 = 4.5225e-04
Loss = 1.6809e-01, PNorm = 66.6939, GNorm = 0.1877, lr_0 = 4.5821e-04
Loss = 1.6456e-01, PNorm = 66.7072, GNorm = 0.1390, lr_0 = 4.6417e-04
Loss = 2.0471e-01, PNorm = 66.7121, GNorm = 0.2057, lr_0 = 4.7013e-04
Loss = 1.6471e-01, PNorm = 66.7477, GNorm = 0.1560, lr_0 = 4.7609e-04
Loss = 1.8063e-01, PNorm = 66.7608, GNorm = 0.2660, lr_0 = 4.8205e-04
Loss = 1.7790e-01, PNorm = 66.7840, GNorm = 0.1452, lr_0 = 4.8801e-04
Loss = 1.4041e-01, PNorm = 66.8202, GNorm = 0.2176, lr_0 = 4.9397e-04
Loss = 2.0732e-01, PNorm = 66.8169, GNorm = 0.2141, lr_0 = 4.9993e-04
Loss = 1.3066e-01, PNorm = 66.8677, GNorm = 0.1133, lr_0 = 5.0589e-04
Loss = 1.3714e-01, PNorm = 66.8798, GNorm = 0.1366, lr_0 = 5.1185e-04
Loss = 1.4396e-01, PNorm = 66.8930, GNorm = 0.1452, lr_0 = 5.1781e-04
Loss = 1.0924e-01, PNorm = 66.9228, GNorm = 0.0962, lr_0 = 5.2377e-04
Loss = 2.1288e-01, PNorm = 66.9167, GNorm = 0.1985, lr_0 = 5.2974e-04
Loss = 1.4766e-01, PNorm = 66.9546, GNorm = 0.1203, lr_0 = 5.3570e-04
Loss = 1.4327e-01, PNorm = 66.9846, GNorm = 0.1570, lr_0 = 5.4166e-04
Loss = 2.0771e-01, PNorm = 66.9870, GNorm = 0.1708, lr_0 = 5.4762e-04
Validation auc = 0.689851
Epoch 1
Loss = 2.0697e-01, PNorm = 67.0447, GNorm = 0.2533, lr_0 = 5.5417e-04
Loss = 1.8858e-01, PNorm = 67.0584, GNorm = 0.1431, lr_0 = 5.6013e-04
Loss = 1.2369e-01, PNorm = 67.1055, GNorm = 0.0962, lr_0 = 5.6609e-04
Loss = 1.6963e-01, PNorm = 67.1164, GNorm = 0.2086, lr_0 = 5.7205e-04
Loss = 1.4183e-01, PNorm = 67.1469, GNorm = 0.1113, lr_0 = 5.7801e-04
Loss = 1.6237e-01, PNorm = 67.1767, GNorm = 0.1521, lr_0 = 5.8397e-04
Loss = 1.4806e-01, PNorm = 67.2066, GNorm = 0.1259, lr_0 = 5.8993e-04
Loss = 1.4514e-01, PNorm = 67.2305, GNorm = 0.1150, lr_0 = 5.9589e-04
Loss = 1.4100e-01, PNorm = 67.2507, GNorm = 0.1503, lr_0 = 6.0185e-04
Loss = 1.2772e-01, PNorm = 67.2880, GNorm = 0.1754, lr_0 = 6.0781e-04
Loss = 1.3360e-01, PNorm = 67.3156, GNorm = 0.1189, lr_0 = 6.1377e-04
Loss = 2.0356e-01, PNorm = 67.3347, GNorm = 0.2291, lr_0 = 6.1974e-04
Loss = 1.3172e-01, PNorm = 67.4008, GNorm = 0.2369, lr_0 = 6.2570e-04
Loss = 1.6731e-01, PNorm = 67.4102, GNorm = 0.1315, lr_0 = 6.3166e-04
Loss = 1.8737e-01, PNorm = 67.4404, GNorm = 0.1467, lr_0 = 6.3762e-04
Loss = 1.6765e-01, PNorm = 67.4890, GNorm = 0.1320, lr_0 = 6.4358e-04
Loss = 1.6080e-01, PNorm = 67.5119, GNorm = 0.1290, lr_0 = 6.4954e-04
Loss = 1.5306e-01, PNorm = 67.5571, GNorm = 0.2217, lr_0 = 6.5550e-04
Loss = 1.4443e-01, PNorm = 67.5779, GNorm = 0.1179, lr_0 = 6.6146e-04
Loss = 2.1081e-01, PNorm = 67.6009, GNorm = 0.1509, lr_0 = 6.6742e-04
Loss = 1.2410e-01, PNorm = 67.6664, GNorm = 0.3556, lr_0 = 6.7338e-04
Loss = 1.3687e-01, PNorm = 67.6622, GNorm = 0.1279, lr_0 = 6.7934e-04
Loss = 1.8314e-01, PNorm = 67.6764, GNorm = 0.1690, lr_0 = 6.8530e-04
Loss = 1.5113e-01, PNorm = 67.7236, GNorm = 0.1194, lr_0 = 6.9126e-04
Loss = 1.8956e-01, PNorm = 67.7389, GNorm = 0.1205, lr_0 = 6.9722e-04
Loss = 1.8189e-01, PNorm = 67.7582, GNorm = 0.1666, lr_0 = 7.0318e-04
Loss = 1.4289e-01, PNorm = 67.8143, GNorm = 0.1388, lr_0 = 7.0914e-04
Loss = 1.3962e-01, PNorm = 67.8367, GNorm = 0.1363, lr_0 = 7.1510e-04
Loss = 1.4385e-01, PNorm = 67.8569, GNorm = 0.1275, lr_0 = 7.2106e-04
Loss = 1.4939e-01, PNorm = 67.8776, GNorm = 0.2306, lr_0 = 7.2702e-04
Loss = 1.3407e-01, PNorm = 67.9071, GNorm = 0.1187, lr_0 = 7.3298e-04
Loss = 1.8584e-01, PNorm = 67.9215, GNorm = 0.4827, lr_0 = 7.3894e-04
Loss = 1.4413e-01, PNorm = 67.9348, GNorm = 0.1295, lr_0 = 7.4490e-04
Loss = 1.3430e-01, PNorm = 67.9909, GNorm = 0.2294, lr_0 = 7.5086e-04
Loss = 1.8564e-01, PNorm = 67.9910, GNorm = 0.1813, lr_0 = 7.5682e-04
Loss = 1.8718e-01, PNorm = 68.0530, GNorm = 0.1333, lr_0 = 7.6278e-04
Loss = 2.0355e-01, PNorm = 68.0847, GNorm = 0.2016, lr_0 = 7.6874e-04
Loss = 1.8259e-01, PNorm = 68.1159, GNorm = 0.1685, lr_0 = 7.7470e-04
Loss = 1.9868e-01, PNorm = 68.1540, GNorm = 0.1271, lr_0 = 7.8066e-04
Loss = 1.4437e-01, PNorm = 68.2152, GNorm = 0.1282, lr_0 = 7.8662e-04
Loss = 1.5881e-01, PNorm = 68.2740, GNorm = 0.2072, lr_0 = 7.9258e-04
Loss = 1.2407e-01, PNorm = 68.3479, GNorm = 0.1351, lr_0 = 7.9854e-04
Loss = 2.1479e-01, PNorm = 68.3823, GNorm = 0.1616, lr_0 = 8.0450e-04
Loss = 1.6758e-01, PNorm = 68.4733, GNorm = 0.2962, lr_0 = 8.1046e-04
Loss = 1.7990e-01, PNorm = 68.5175, GNorm = 0.1471, lr_0 = 8.1642e-04
Loss = 1.6555e-01, PNorm = 68.5619, GNorm = 0.2416, lr_0 = 8.2238e-04
Loss = 1.8367e-01, PNorm = 68.5775, GNorm = 0.1393, lr_0 = 8.2834e-04
Loss = 1.3982e-01, PNorm = 68.6538, GNorm = 0.1033, lr_0 = 8.3430e-04
Loss = 1.6735e-01, PNorm = 68.6950, GNorm = 0.1329, lr_0 = 8.4026e-04
Loss = 1.2492e-01, PNorm = 68.7584, GNorm = 0.1200, lr_0 = 8.4623e-04
Loss = 1.7792e-01, PNorm = 68.7827, GNorm = 0.1403, lr_0 = 8.5219e-04
Loss = 1.9207e-01, PNorm = 68.8411, GNorm = 0.1482, lr_0 = 8.5815e-04
Loss = 1.7008e-01, PNorm = 68.9051, GNorm = 0.1271, lr_0 = 8.6411e-04
Loss = 2.0508e-01, PNorm = 68.9380, GNorm = 0.1340, lr_0 = 8.7007e-04
Loss = 1.7920e-01, PNorm = 68.9733, GNorm = 0.1355, lr_0 = 8.7603e-04
Loss = 1.6954e-01, PNorm = 68.9981, GNorm = 0.1383, lr_0 = 8.8199e-04
Loss = 1.3463e-01, PNorm = 69.0446, GNorm = 0.1451, lr_0 = 8.8795e-04
Loss = 1.6160e-01, PNorm = 69.0606, GNorm = 0.1240, lr_0 = 8.9391e-04
Loss = 1.2501e-01, PNorm = 69.1184, GNorm = 0.0897, lr_0 = 8.9987e-04
Loss = 1.9998e-01, PNorm = 69.1327, GNorm = 0.1569, lr_0 = 9.0583e-04
Loss = 1.2666e-01, PNorm = 69.2171, GNorm = 0.0883, lr_0 = 9.1179e-04
Loss = 1.4244e-01, PNorm = 69.2291, GNorm = 0.1196, lr_0 = 9.1775e-04
Loss = 1.6949e-01, PNorm = 69.2281, GNorm = 0.1812, lr_0 = 9.2371e-04
Loss = 1.2352e-01, PNorm = 69.2820, GNorm = 0.1119, lr_0 = 9.2967e-04
Loss = 1.3050e-01, PNorm = 69.3209, GNorm = 0.1188, lr_0 = 9.3563e-04
Loss = 1.7581e-01, PNorm = 69.3495, GNorm = 0.1250, lr_0 = 9.4159e-04
Loss = 1.7007e-01, PNorm = 69.4003, GNorm = 0.1133, lr_0 = 9.4755e-04
Loss = 1.0982e-01, PNorm = 69.4738, GNorm = 0.1093, lr_0 = 9.5351e-04
Loss = 1.7018e-01, PNorm = 69.4736, GNorm = 0.1062, lr_0 = 9.5947e-04
Loss = 1.5605e-01, PNorm = 69.5049, GNorm = 0.1163, lr_0 = 9.6543e-04
Loss = 1.4594e-01, PNorm = 69.5509, GNorm = 0.1182, lr_0 = 9.7139e-04
Loss = 1.5475e-01, PNorm = 69.5787, GNorm = 0.1379, lr_0 = 9.7735e-04
Loss = 1.5284e-01, PNorm = 69.6348, GNorm = 0.2809, lr_0 = 9.8331e-04
Loss = 1.8670e-01, PNorm = 69.6540, GNorm = 0.1556, lr_0 = 9.8927e-04
Loss = 1.7171e-01, PNorm = 69.7200, GNorm = 0.1399, lr_0 = 9.9523e-04
Loss = 1.3127e-01, PNorm = 69.8031, GNorm = 0.1270, lr_0 = 9.9978e-04
Loss = 3.2485e-02, PNorm = 69.8141, GNorm = 0.1338, lr_0 = 9.9967e-04
Validation auc = 0.704238
Epoch 2
Loss = 1.7533e-01, PNorm = 69.8398, GNorm = 0.1584, lr_0 = 9.9859e-04
Loss = 1.8507e-01, PNorm = 69.9031, GNorm = 0.1484, lr_0 = 9.9750e-04
Loss = 1.3689e-01, PNorm = 69.9828, GNorm = 0.0983, lr_0 = 9.9641e-04
Loss = 1.3564e-01, PNorm = 70.0178, GNorm = 0.1336, lr_0 = 9.9533e-04
Loss = 1.3979e-01, PNorm = 70.0665, GNorm = 0.1944, lr_0 = 9.9424e-04
Loss = 1.8482e-01, PNorm = 70.0671, GNorm = 0.1372, lr_0 = 9.9316e-04
Loss = 1.4567e-01, PNorm = 70.1237, GNorm = 0.0927, lr_0 = 9.9208e-04
Loss = 2.0898e-01, PNorm = 70.1147, GNorm = 0.1301, lr_0 = 9.9100e-04
Loss = 1.8765e-01, PNorm = 70.1644, GNorm = 0.1269, lr_0 = 9.8992e-04
Loss = 1.9821e-01, PNorm = 70.1955, GNorm = 0.1893, lr_0 = 9.8884e-04
Loss = 1.6354e-01, PNorm = 70.2502, GNorm = 0.1858, lr_0 = 9.8777e-04
Loss = 1.7428e-01, PNorm = 70.2993, GNorm = 0.1233, lr_0 = 9.8669e-04
Loss = 1.3040e-01, PNorm = 70.3441, GNorm = 0.1240, lr_0 = 9.8562e-04
Loss = 1.8769e-01, PNorm = 70.3983, GNorm = 0.2760, lr_0 = 9.8455e-04
Loss = 1.4483e-01, PNorm = 70.4616, GNorm = 0.1222, lr_0 = 9.8347e-04
Loss = 1.3158e-01, PNorm = 70.5516, GNorm = 0.1881, lr_0 = 9.8240e-04
Loss = 1.7062e-01, PNorm = 70.5737, GNorm = 0.1759, lr_0 = 9.8133e-04
Loss = 1.6128e-01, PNorm = 70.6475, GNorm = 0.3530, lr_0 = 9.8026e-04
Loss = 1.8876e-01, PNorm = 70.6557, GNorm = 0.2252, lr_0 = 9.7920e-04
Loss = 1.9003e-01, PNorm = 70.7351, GNorm = 0.1009, lr_0 = 9.7813e-04
Loss = 1.6888e-01, PNorm = 70.7760, GNorm = 0.1106, lr_0 = 9.7707e-04
Loss = 1.8239e-01, PNorm = 70.8115, GNorm = 0.1814, lr_0 = 9.7600e-04
Loss = 1.5609e-01, PNorm = 70.9062, GNorm = 0.1177, lr_0 = 9.7494e-04
Loss = 1.6535e-01, PNorm = 70.9698, GNorm = 0.2073, lr_0 = 9.7388e-04
Loss = 1.8175e-01, PNorm = 70.9853, GNorm = 0.2259, lr_0 = 9.7282e-04
Loss = 1.5403e-01, PNorm = 71.0602, GNorm = 0.2427, lr_0 = 9.7176e-04
Loss = 1.4422e-01, PNorm = 71.0657, GNorm = 0.1239, lr_0 = 9.7070e-04
Loss = 1.1920e-01, PNorm = 71.1090, GNorm = 0.1207, lr_0 = 9.6965e-04
Loss = 1.2885e-01, PNorm = 71.1422, GNorm = 0.1153, lr_0 = 9.6859e-04
Loss = 9.8466e-02, PNorm = 71.1654, GNorm = 0.1183, lr_0 = 9.6754e-04
Loss = 1.9821e-01, PNorm = 71.1871, GNorm = 0.1960, lr_0 = 9.6648e-04
Loss = 1.5177e-01, PNorm = 71.2739, GNorm = 0.0874, lr_0 = 9.6543e-04
Loss = 1.2167e-01, PNorm = 71.3426, GNorm = 0.1189, lr_0 = 9.6438e-04
Loss = 1.4588e-01, PNorm = 71.3997, GNorm = 0.1181, lr_0 = 9.6333e-04
Loss = 1.4983e-01, PNorm = 71.4338, GNorm = 0.1035, lr_0 = 9.6228e-04
Loss = 1.6050e-01, PNorm = 71.4699, GNorm = 0.2239, lr_0 = 9.6123e-04
Loss = 1.7325e-01, PNorm = 71.5152, GNorm = 0.1284, lr_0 = 9.6019e-04
Loss = 1.7077e-01, PNorm = 71.5503, GNorm = 0.1335, lr_0 = 9.5914e-04
Loss = 1.7237e-01, PNorm = 71.5851, GNorm = 0.1085, lr_0 = 9.5810e-04
Loss = 1.8212e-01, PNorm = 71.5960, GNorm = 0.1405, lr_0 = 9.5705e-04
Loss = 1.6622e-01, PNorm = 71.6561, GNorm = 0.1261, lr_0 = 9.5601e-04
Loss = 1.7398e-01, PNorm = 71.6878, GNorm = 0.1268, lr_0 = 9.5497e-04
Loss = 1.5610e-01, PNorm = 71.7387, GNorm = 0.1201, lr_0 = 9.5393e-04
Loss = 1.6964e-01, PNorm = 71.7500, GNorm = 0.1221, lr_0 = 9.5289e-04
Loss = 1.3721e-01, PNorm = 71.7972, GNorm = 0.1866, lr_0 = 9.5186e-04
